cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page
,Accounting Technician - ATI - Year 1,,8,,Business,https://www.qualifax.ie/course/223734,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician - ATI - Year 2,,8,,Business,https://www.qualifax.ie/course/223736,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician - Certified - ACCA,,6,,Business,https://www.qualifax.ie/course/3273,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician - First Year & Information systems,,8,,Business,https://www.qualifax.ie/course/1880,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician - Pre,,8,,Business,https://www.qualifax.ie/course/109031,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician - Year 1,,8,,Business,https://www.qualifax.ie/course/376,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician - Year 1,,8,,Business,https://www.qualifax.ie/course/110402,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician - Year 1,,8,,Business,https://www.qualifax.ie/course/108517,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician - Year 1,,8,,Business,https://www.qualifax.ie/course/45319,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician - Year 1 & 2,,8,,Business,https://www.qualifax.ie/course/398,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician - Year 1 & 2 - ATI,,8,,Business,https://www.qualifax.ie/course/12275,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician - Year 1 & Year 2,,8,,Business,https://www.qualifax.ie/course/557,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician - Year 2,,8,,Business,https://www.qualifax.ie/course/7290,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician - Year 2,,8,,Business,https://www.qualifax.ie/course/110405,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician - Year 2,,8,,Business,https://www.qualifax.ie/course/108521,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician - Year 2,,8,,Business,https://www.qualifax.ie/course/107391,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician - Year 2 - ATI,,8,,Business,https://www.qualifax.ie/course/71296,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician Year 1,,8,,Business,https://www.qualifax.ie/course/223309,1,0,,,2025-01-25T15:00:00,7
,Accounting Technician Year 2,,8,,Business,https://www.qualifax.ie/course/221373,1,0,,,2025-01-25T15:00:00,7
,Accounting Technicians Ireland,,8,,Business,https://www.qualifax.ie/providers/accounting-technicians-ireland,1,0,,,2025-01-25T15:00:00,7
